#SampleID	GROUP
ERR1709833	HEALTHY CONTROL
ERR1709855	HEALTHY CONTROL
ERR1709856	HEALTHY CONTROL
ERR1709857	HEALTHY CONTROL
ERR1709860	HEALTHY CONTROL
ERR1709863	HEALTHY CONTROL
ERR1709864	HEALTHY CONTROL
ERR1709866	HEALTHY CONTROL
ERR1709830	HEALTHY CONTROL
ERR1709831	HEALTHY CONTROL
ERR1709832	HEALTHY CONTROL
ERR1709835	HEALTHY CONTROL
ERR1709836	HEALTHY CONTROL
ERR1709838	HEALTHY CONTROL
ERR1709840	HEALTHY CONTROL
ERR1709841	HEALTHY CONTROL
ERR1709842	HEALTHY CONTROL
ERR1709846	HEALTHY CONTROL
ERR1709850	HEALTHY CONTROL
ERR1709852	HEALTHY CONTROL
ERR1709854	HEALTHY CONTROL
ERR1709858	HEALTHY CONTROL
ERR1709859	HEALTHY CONTROL
ERR1709861	HEALTHY CONTROL
ERR1709870	HEALTHY CONTROL
ERR1709834	HEALTHY CONTROL
ERR1709837	HEALTHY CONTROL
ERR1709839	HEALTHY CONTROL
ERR1709843	HEALTHY CONTROL
ERR1709844	HEALTHY CONTROL
ERR1709845	HEALTHY CONTROL
ERR1709847	HEALTHY CONTROL
ERR1709848	HEALTHY CONTROL
ERR1709849	HEALTHY CONTROL
ERR1709851	HEALTHY CONTROL
ERR1709853	HEALTHY CONTROL
ERR1709862	HEALTHY CONTROL
ERR1709865	HEALTHY CONTROL
ERR1709867	HEALTHY CONTROL
ERR1709868	HEALTHY CONTROL
ERR1709869	HEALTHY CONTROL
ERR6448727	HEALTHY CONTROL
ERR6448729	HEALTHY CONTROL
ERR6448735	HEALTHY CONTROL
ERR6448739	HEALTHY CONTROL
ERR6448741	HEALTHY CONTROL
ERR6448742	HEALTHY CONTROL
ERR6448728	HEALTHY CONTROL
ERR6448746	HEALTHY CONTROL
ERR6448747	HEALTHY CONTROL
ERR6448730	HEALTHY CONTROL
ERR6448750	HEALTHY CONTROL
ERR6448731	HEALTHY CONTROL
ERR6448733	HEALTHY CONTROL
ERR6448734	HEALTHY CONTROL
ERR6448738	HEALTHY CONTROL
ERR6448748	HEALTHY CONTROL
ERR6448749	HEALTHY CONTROL
ERR6448732	HEALTHY CONTROL
ERR6448736	HEALTHY CONTROL
ERR6448737	HEALTHY CONTROL
ERR6448740	HEALTHY CONTROL
ERR6448743	HEALTHY CONTROL
ERR6448744	HEALTHY CONTROL
ERR6448745	HEALTHY CONTROL
