#SampleID	GROUP 
SRR20993010	60_AUD
SRR20993011	60_AUD
SRR20993012	60_AUD
SRR20993020	60_AUD
SRR20993031	60_AUD
SRR20993042	60_AUD
SRR20993051	60_AUD
SRR20993052	60_AUD
SRR20993053	60_AUD
SRR20993054	60_AUD
SRR20993055	60_AUD
SRR20993056	60_AUD
SRR20993057	60_AUD
SRR20993058	60_AUD
SRR20993059	60_AUD
SRR20993060	60_AUD
SRR20993061	60_AUD
SRR20993062	60_AUD
SRR20993063	60_AUD
SRR20993064	60_AUD
SRR20993065	60_AUD
SRR20993066	60_AUD
SRR20993067	60_AUD
SRR20993068	60_AUD
SRR20993069	60_AUD
SRR20993070	60_AUD
SRR20993071	60_AUD
SRR20993072	60_AUD
SRR20993073	60_AUD
SRR20993074	60_AUD
SRR20993075	60_AUD
SRR20993076	60_AUD
