#SampleID	GROUP
SRR8488423	118_AUD
SRR8488424	118_AUD
SRR8488426	118_AUD
SRR8488431	118_AUD
SRR8488432	118_AUD
SRR8488433	118_AUD
SRR8488434	118_AUD
SRR8488435	118_AUD
SRR8488436	118_AUD
SRR8488437	118_AUD
SRR8488438	118_AUD
SRR8488439	118_AUD
SRR8488440	118_AUD
SRR8488443	118_AUD
SRR8488444	118_AUD
SRR8488445	118_AUD
SRR8488446	118_AUD
SRR8488447	118_AUD
SRR8488448	118_AUD
SRR8488449	118_AUD
SRR8488450	118_AUD
SRR8488451	118_AUD
SRR8488452	118_AUD
SRR8488453	118_AUD
SRR8488454	118_AUD
SRR8488455	118_AUD
SRR8488456	118_AUD
SRR8488457	118_AUD
SRR8488458	118_AUD
SRR8488459	118_AUD
SRR8488460	118_AUD
SRR8488461	118_AUD
SRR8488462	118_AUD
